Confraternização Universal;  01/01/22;  
Carnaval;  28/02/22;  01/03/22
Quarta-feira de Cinzas;  02/03/22;  
Paixão de Cristo;  15/04/22;  
Ponto Facultativo;  16/04/22;  
Rio das Ostras;   10/04/22;
Tiradentes;  21/04/22;  
Ponto Facultativo;  22/04/22;  
São Jorge;  23/04/22;  
Dia Mundial do Trabalho;  01/05/22;  
Corpus Christi;  16/06/22;  
Ponto Facultativo;  17/06/22; 18/06/22
Independência do Brasil;  07/09/22;  
Nossa Senhora Aparecida;  12/10/22;  
Dia do Professor (Ponto Facultativo); 15/10/22;  
Servidor Público (Ponto Facultativo); 28/10/22;  
Finados;  02/11/22;  
Ponto Facultativo; 14/11/22;  
Proclamação da República;  15/11/22;  
Dia da Consciência Negra;  20/11/22;  
Véspera de Natal e Natal;  24/12/22;  25/12/22
Véspera de Ano Novo;  31/12/22;  

